,address,hind,üldpind,ehitusaasta,rõdu,seisukord,tubade_arv,broker,linnaosa,terrass,maaküte,autnoomne küte,gaasiküte,kombineeritud küte,kamin,õhksoojuspump,põrandaküte,tahkekütus,keskküte,ahjuküte,elektriküte,energy_class_a,energy_class_b,energy_class_c,energy_class_d,energy_class_e,energy_class_f,energy_class_g,korrus,saun,bassein
68,Liivaoja tn 1,162500,74.0,2006,0,A,3,RE Kinnisvara AS,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
75,Väike-Ameerika tn 17,99000,53.6,1954,0,B,2,AHAUS Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
76,Asula tn 5,133000,85.3,1993,0,B,3,7Kinnisvara Partnerid OÜ,Kesklinn,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
81,Ravi tn 19,148000,75.0,1973,0,C,3,Prisma Varahindajad OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
86,Pärnu mnt 130,110000,61.1,2008,0,B,2,Colonna Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
90,Villardi tn 22,150000,89.2,2008,0,B,3,Colonna Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
91,Tartu mnt 52,249900,96.7,2017,1,A,4,Merko Ehitus AS,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
107,Suur-Ameerika 22,135900,75.2,1956,0,B,3,CKE Kinnisvara OÜ,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0
125,Staadioni tn 1,393500,117.9,2017,1,A,4,Stadium Real Estate OÜ,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0
142,J. Kunderi põik 6,242000,89.9,2017,1,A,3,Domus Kinnisvara Vahendus OÜ,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0
173,Narva mnt 5,299000,100.9,2007,1,B,3,RE Kinnisvara AS,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0
228,J.Poska 38,229000,111.0,1913,0,B,3,"Kinnisvarabüroo Uus Maa OÜ,Kinnisvarabüroo Uus Maa OÜ",Kesklinn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
233,K. A. Hermanni 2,155000,70.8,1993,1,B,4,Domus Kinnisvara Vahendus OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0
238,Uue Maailma tn 24,150000,46.2,2006,1,B,2,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
244,Liivaoja 1,229000,96.0,2006,0,A,4,RE Kinnisvara AS,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0
246,Pärnu mnt 69,73000,19.4,1911,0,B,1,Fisk OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
247,Pärnu mnt 69,100000,31.6,1911,0,B,2,Fisk OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
248,Vesivärava tn 50,236500,102.5,2019,0,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0
249,Pärnu mnt 69,93000,30.5,1911,0,B,1,Fisk OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
250,Vesivärava tn 50,214170,85.1,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0
254,Pärnu mnt 69,70120,19.2,1911,0,B,1,Fisk OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
255,Pärnu mnt 69,66000,15.6,1911,0,B,1,Fisk OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
258,Pärnu mnt 69,69020,19.2,1911,0,B,1,Fisk OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
266,Narva mnt 13,89000,81.2,1999,0,A,3,Raid & Ko OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
267,Tuukri põik 4,199000,97.0,1925,0,B,4,City Property OÜ,Kesklinn,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
308,Põhja pst. 5,182000,54.1,2015,1,A,2,Domus Kinnisvara Vahendus OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
312,Liivalaia tn 7,119000,76.4,1961,0,C,3,Herrkuur OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
317,Tehnika tn 15,229900,110.4,2018,1,A,3,Rendvelt OÜ,Kesklinn,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
333,Pirita tee 26,155000,53.6,2017,1,A,2,Villa Junghans OÜ,Pirita,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
335,Uus-Tatari 9,134000,58.4,1993,0,B,3,LVM Kinnisvara Tallinn,Kesklinn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
355,Asula tn 1,125000,60.5,2005,1,B,2,Astlanda Ehitus OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
377,Pärnu mnt 48,119000,54.9,1960,0,B,2,City Property OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0
395,Luise tn 5,140000,56.2,1941,0,B,2,Koduleidja OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
400,Viru Keskus 50,261000,74.7,1958,1,B,3,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
402,Maakri tn 44,134900,58.3,1957,0,B,2,Alexandra Kinnisvara Agentuur OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
403,Maakri tn 44,134900,58.3,1957,0,B,2,Alexandra Kinnisvara Agentuur OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
405,Tartu mnt 50,205000,86.1,2013,1,A,3,Telefon 1: ,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
406,Väike-Ameerika tn 17,99000,53.6,1954,0,B,2,AHAUS Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
416,Maakri 44,169000,75.5,1957,0,B,3,Domus Kinnisvara Vahendus OÜ Tallinn,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
420,Tartu mnt 56,450000,107.4,2016,1,B,3,RE/MAX,Kesklinn,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
432,Tehnika tn 16,290000,128.0,2008,0,B,4,Gand KV OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,0
444,Narva mnt 19,102000,65.6,1978,1,C,3,1Partner Kinnisvara,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0
452,Juurdeveo tn 5,138000,57.9,2004,0,B,3,KM Kodu Kinnivara OÜ,Kesklinn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
469,Suur-Ameerika tn 37,51000,25.9,1958,0,B,2,1Partner Kinnisvara,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
470,Lastekodu tn 24,131000,66.7,1993,1,B,3,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
487,Tondi tn 20,64800,39.0,1939,0,C,2,2Kinnisvara OÜ,Kesklinn,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
490,Liivamäe tn 4,72000,32.9,1974,1,B,1,Landlord KVB OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
497,Vase tn 11,133000,64.2,1972,1,C,3,OJ Lahendused OÜ,Kadriorg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
510,Endla tn 31,59000,24.9,1957,0,B,1,OPEN HAUS KINNISVARA,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
524,Kentmanni 6,650000,99.3,2015,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
528,Kesk-Ameerika tn 3,59000,27.0,1963,0,C,1,Arcus Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
531,Endla tn 17,118000,76.0,1953,0,C,3,Arcus Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
541,Luise tn 16,48000,20.0,1993,0,B,1,Arcus Kinnisvara OÜ,Kesklinn,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
547,Liivalaia tn 21,174000,74.4,2008,0,B,3,Arcus Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0
556,Pärnu mnt 80,89000,35.0,1984,0,B,1,Arcus Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
557,Pärnu mnt 110,129000,39.3,2006,1,A,2,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0
562,Pärnu mnt 129,155000,69.3,2010,0,B,3,Domus Kinnisvara Vahendus OÜ,Kesklinn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
565,Vana-Lõuna 39,255000,95.5,2008,0,B,4,CKE Kinnisvara OÜ,Kesklinn,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0
569,Juurdeveo tn 19,82900,28.8,2011,1,A,1,RE/MAX,Kesklinn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
604,Hagudi tn 26,124000,44.7,2019,0,A,2,Hagudi 26 OÜ,Kesklinn,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
620,Uue Maailma tn 24,105000,34.7,2006,1,B,1,Property in Estonia Management OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
627,Asunduse 3,79900,42.5,1966,0,B,2,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
633,Narva mnt 5,299000,100.7,2007,1,A,3,Artal Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0
635,Paadi tn 14,100000,35.6,2003,0,B,1,Property in Estonia Management OÜ,Kesklinn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
641,Laulupeo 21,168000,62.8,1939,0,B,2,Domus Kinnisvara Vahendus OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
793,J. Kunderi tn 4,153000,56.0,1936,0,B,3,City Property OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0
800,Rotermanni tn 5,370000,95.7,2007,1,A,3,Nordic Estates OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
801,Narva mnt 23,129000,48.2,1979,1,B,3,City Property OÜ,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
807,Pärnu mnt 82,120000,58.2,1953,0,B,2,Pindi Kinnisvara,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
810,Kuristiku tn 1,325000,131.6,2015,1,A,4,City Property OÜ,Kadriorg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
830,R. Tobiase tn 3,138800,48.4,1993,0,A,2,Telefon 1: ,Kesklinn,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
834,Suur-Ameerika tn 37,60900,25.6,1958,0,B,1,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0
841,Tuisu tn 18,123000,57.7,1979,1,B,3,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
879,Vesivärava tn 50,225500,97.6,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0
881,Vesivärava tn 50,220000,91.0,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0
884,A. Lauteri tn 8,155000,58.5,1959,0,B,2,City Property OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0
957,Kaupmehe 6,135000,39.3,2004,1,A,1,RE Kinnisvara AS,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
963,Lasnamäe tn 4,320000,89.3,2018,1,A,3,2Kinnisvara OÜ,Lasnamäe,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
977,Pärnu mnt 48,119000,54.9,1960,0,B,2,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0
1023,Kaupmehe 7,335000,125.1,2007,1,B,4,Arco Vara Kinnisvarabüroo AS | Tallinn,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
1124,Pirita tee 20,274000,73.5,2018,1,A,3,Metro Capital OÜ,Pirita,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
1125,Narva mnt 20,160000,79.3,1938,0,B,3,Artal Kinnisvara OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0
1162,Lai 9,590000,169.7,1993,0,B,5,Domus Kinnisvara Vahendus OÜ,Kesklinn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
1183,Wismari 21,100000,49.3,1930,0,B,2,Domus Kinnisvara Vahendus OÜ,Kesklinn,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1279,Vesivärava tn 50,154990,57.0,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
1280,Vesivärava tn 50,135000,57.6,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0
1281,Vesivärava tn 50,160900,61.6,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0
1282,Vesivärava tn 50,150700,57.0,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
1283,Vesivärava tn 50,198000,84.1,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
1284,Vesivärava tn 50,153890,60.3,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
1285,Vesivärava tn 50,148500,55.1,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
1286,Vesivärava tn 50,142890,54.4,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
1287,Vesivärava tn 50,139700,54.4,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
1288,Vesivärava tn 50,167200,72.7,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
1289,Vesivärava tn 50,162690,62.7,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0
1290,Vesivärava tn 50,159500,59.6,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
1330,Filtri tee 6,65900,38.3,1993,0,C,2,Eesti Kinnisvaragrupp OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1331,Hagudi tn 26,114000,39.3,2019,0,A,2,Hagudi 26 OÜ,Kesklinn,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
1398,Vesivärava tn 50,275000,112.9,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0
1400,Vesivärava tn 50,253000,102.5,2019,1,A,4,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1401,Vesivärava tn 50,139000,55.0,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1402,Vesivärava tn 50,222090,93.0,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1403,Vesivärava tn 50,165000,71.5,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1449,Tina 21,395000,124.3,2008,1,A,4,Domus Kinnisvara Vahendus OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0
1450,Vesivärava tn 50,140000,64.1,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1451,Vesivärava tn 50,156200,62.6,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1452,Vesivärava tn 50,139700,53.1,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1453,Vesivärava tn 50,178750,76.2,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1454,Vesivärava tn 50,134000,61.0,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1455,Vesivärava tn 50,143000,65.1,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1457,Vesivärava tn 50,145000,63.1,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1458,Vesivärava tn 50,225500,100.3,2019,1,A,4,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1459,Vesivärava tn 50,264000,106.0,2019,1,A,4,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1460,Vesivärava tn 50,202290,87.5,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1480,Vesivärava tn 50,119900,48.2,2019,1,A,1,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1481,Vesivärava tn 50,209000,91.7,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1482,Vesivärava tn 50,242000,95.9,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0
1484,Vesivärava tn 50,216590,93.0,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1485,Vesivärava tn 50,253000,112.9,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0
1486,Vesivärava tn 50,150000,62.7,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1487,Vesivärava tn 50,151900,67.8,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1488,Vesivärava tn 50,242000,102.5,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1489,Vesivärava tn 50,147000,64.8,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1490,Vesivärava tn 50,140690,53.3,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1491,Vesivärava tn 50,159390,59.9,2019,0,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1499,Vesivärava tn 50,159500,64.9,2019,1,A,2,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1501,Vesivärava tn 50,206690,87.5,2019,1,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
1604,Tina tn 16,78000,27.2,1993,0,C,1,City Property OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0
1625,Kentmanni tn 32,140000,55.7,1938,0,B,2,Telefon 1: ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
1631,Nafta 6,40000,17.1,1966,0,B,1,LVM Kinnisvara Tallinn,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1636,Vesivärava tn 50,260000,107.8,2019,0,A,3,Baltic Sotheby's International Realty - Estonia,Kesklinn,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0
